Centre address	No_Street	StreetName	Suburb	ID
49 St George's Mall, Ground Floor, Cologne House Building, Cape Town, 8000	49	St George's Mall	Cape Town	894
				924
"2nd Floor Sunclare Building 
Cnr Protea & Dreyer Rd s Claremnt 
Cape Town
7708"	Cnr	Protea Rd & Dreyer Rd	Claremont	1045
4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100	4	 DELFT STREET	MALIBU VILLAGEBLUE DOWNS 	28
Muller Bldg, Gabriel Rd, Plumstead, Cape Town, 7800		Muller Bldg	 Gabriel Rd	51
	8	MURRAY ST	GOODWOOD	140
UNIT 10, ALEXWAY COMPLEX, N0 5 ROMAN CLOSE, HERMANUS. SOUTH AFRICA	5	Roman Close	Hermanus	152
No 17 8th Street, Cnr 11th Avenue and 8th Street, Houghton	17	 8th Street	 Cnr 11th Avenue and 8th Street	205
244B Voortrekker Road, Parow 7500		 Voortrekker Road	 Parow 	243
BOOMPIES STREET PAROW EAST CAPE TOWN 7500		BOOMPIES STREET 	PAROW EAST 	265
85 George Blake Road Plankenbrug Stellenbosch	85	 George Blake Road  	Plankenbrug Stellenbosch	274
KABACH BUILDING, 119 MAIN RD, PLUMSTEAD, WYNBERG, Western Cape, South Africa	119	 MAIN RD	 Strand	294
Greenwich Grove – Station Road 7700 Rondebosch		Greenwich Grove – Station Road 	Rondebosch	302
Seaboard House 235 Blaauwberg Road TableView, 7441 	235	Seaboard House Blaauwberg Road 	TableView	335
Head Office 3 High Street, 3rd Floor, Rosenpark, Bellville, 7530	3	High Street  3rd Floor	 Rosenpark	349
ADT House, 5 Louwtjie Rothman Avenue, N1 City, Goodwood 7463 	5	Louwtjie Rothman Street	N1 City	460
4 Queens Park Avenue, Salt River, Cape Town 7925	4	 Queens Park Avenue	 Salt River	474
13 Prema Business Park, Engine Road, Montague Gardens, Cape Town, 7442	13	 Engine Road	Montague Gardens	483
65 Waterkant Street Cape Town City Centre, Cape Town, 8001‎	65	 Waterkant Street 	 Cape Town City Centre	563
2 KINDROGGAN FL, Cape Town, Western Cape 7405	2	 KINDROGGAN FL	 Cape Town	598
2 KINDROGGAN FL, Cape Town, Western Cape 7405	2	 KINDROGGAN FL	 Cape Town	599
112 Long street 3rd floor Twinell House	112	Long street  	 Cape Town	604
	54	suikerbekkie east st	joostenbergvlakte, Kraaifontein	645
6 Huguenot St, Bellville, 7530	6	 Huguenot St	 Bellville	781
Unit 137 Platinum Junction School Street Milnerton 7441		 Platinum Junction School Street 	Milnerton	785
9 Mullers Bldg, Cuff St, Mossel Bay, Mossel Bay, Western Cape 	9	Cuff St		887
				925
Municipal Sports Grounds Sarel van Deventer Street Kraaifontein, Western Cape 7572, South Africa		 Sarel van Deventer Street 	Kraaifontein  	969
Municipal Sports Grounds Sarel van Deventer Street Kraaifontein, Western Cape 7572, South Africa		 Sarel van Deventer Street 	Kraaifontein  	970
A” 368 Albert Road Salt River Cape Town Western Cape 7900	368	 Albert Road 	Salt River 	1010
5 Lincoln Street, Bellville, Western Cape, South Africa.	5	 Lincoln Street	 Bellville	1038
12 Bosbok Road, Aurora Durbanville Cape Town 7550	12	Bosbok Road	 Aurora Durbanville Cape Town 7550	10
Block D, Belvedere Office Park, Bella Rosa Street Durbanville Cape Town 7460		Bella Rosa Street 	Durbanville	50
230 Main Road Paarl 7620	230	Main Road 	Paarl	292
40 Oxford Street Durbanville Cape Town	40	Oxford Street 	Durbanville	318
Unit 4 Station Square, 38 Station Road Montague Gardens Cape Town 7441	38	Station Road	Montague Gardens 	321
Heuningklip Street Vredenburg Cape Town 7380		Heuningklip Street Vredenburg Cape Town 7380		374
49 Roodebloem Road, Woodstock Cape Town 8001	49	 Roodebloem Road	 Woodstock Cape Town 8001	683
Unit D7, Collingwood Building, Black River Park, Observatory Cape Town 7925	Black River Park		Observatory	725
1st Floor Leadership House, 40 Shortmarket Street, Cape Town, 8000 	40	1st Floor Leadership House	Shortmarket Street	752
Foyer A, 101, Sovereign Quay, 34 Somerset Road Green Point Cape Town 8001	34	Somerset Road	Green Point	885
5th Floor, 154 Main Road Sea Point Cape Town	154	Main Road	Sea Point	895
				926
Unit 201, 16 on Victoria Avenue Hout Bay Cape Town 7806	16	Victoria Avenue	 Hout Bay	989
9 Fortesque Road Crawford Cape Town 7780	9	Fortesque Road Crawford Cape Town 7780		1022
6 Caernarvon Crescent Parklands Cape Town 7441	6	 Caernarvon Crescent Parklands Cape Town 7441		1052
Operational Process Improvements ( OPI)				48
Perishable Products Export Control Board (PPECB) 45 SILVERBOOM AVENUE PANORAMA Cape Town Cape Town Metro Urban 7506	45	SILVERBOOM AVENUE	PANORAMA	93
Phezukomkhono Training Services Prince Vincent Building Room 12 c/o Baron Van Reede & Church Street Oudtshoorn Urban 6620	Cnr	Baron Van Reede & Church Street	 Oudtshoorn Urban	100
Philani Training and Development Solutions NPC AgriSeta House 529 Belvedere Street 	529	Belvedere Street		102
Protea Agricultural Training Centre 7561				141
Reach Out Vegetable Cultivation & Training Centre Mossie Street 51 Peerless Park North Cape Town Cape Town Metro Urban 7570	51	Mossie Street 51 Peerless Park North Cape Town Cape Town	Peerless Park North	154
Recall Skills College 123 Mitchell Street George George Urban 6530	123	Mitchell Street	George	155
SA Agri Academy Muldersvlei Rd Elsenburg		Muldersvlei Rd	Elsenburg	183
Sandra Kruger & Associates Pty ( Ltd) 31 Pine Street Pniel Stellenbosch Urban 7612	31	Pine Street	Pniel	197
Sikhula Agri Training 2 Hurst Place Somerset West	2	Hurst Place	Somerset West	224
Sound Interactions CC 2 St Geran Village Radar Close Cape Town Cape Town Metro Urban 7441		Radar Close		248
South Cape College 125 Mitchell Street GEORGE George Urban 6530	125	Mitchell Street  6530	GEORGE	255
Two A Day Group (Pty) Ltd 1 Villiersdorp Rd Grabouw Overstrand Urban 7160	1	 Villiersdorp Rd	Overstrand	331
Vineyard Academy Manor House, Nietvoorbij Farm R44 Arterial Road, Stellenbosch Urban 7599		R44 Arterial Road	 Stellenbosch	352
Westco Agri Training Oktagebou, Waterkantskraai Vredendal			 Waterkantskraai	377
Boland Agri Training & Community Development Centre 6 Kiepersol Street Tulbagh Tulbagh Witzenberg Urban 6820	6	Kiepersol Street	Witzenberg	524
Boland College				527
British American Tobacco South Africa Pty Ltd 25 Du Toit Street Stellenbosch Stellenbosch Urban 8000	25	 Du Toit Street	Stellenbosch	557
CAPE GLOBAL CONSTRUCTION & ENGINEERING TRAINING CENTRE (Vredenburg)(TP			Vredenburg	577
Cape Institute for Agricultural Training: Elsenbu0rg Muldersvlei weg Elsenburg		Muldersvlei weg	Elsenburg	580
College of Sustainable Agriculture 83 Helderberg College Road The Vineyard Somerset West Cape Town Metro Urban 7129	83	 Helderberg College Road	 The Vineyard	631
Colors Packhouse (Pty) Ltd Distillery Street Dal Josafat Paarl 7623		Distillery Street	Dal Josafat	634
Damelin Namaqualand (Springbok) 0000			Springbok	676
Ekhozi Rural Development Services NO 12 Daalder Close Strand Cape Town Metro Urban 7443	12	Daalder Close	Strand	741
Elgin Community College 09 Appletiser Road , Elgin Grabouw Theewaterskloof Urban 7160		09 Appletiser Road	 Elgin  Theewaterskloof	747
Green Futures C/o Grootbos Nature Reserve Off R43 Between Stanford & Gansbaai Overstrand Urban 7220	 Off R43	Between Stanford	Gansbaai	830
Honeybee Foundation and Products 25 Disa Avenue Fish Hoek Cape Town Metro Urban	25	 Disa Avenue	Fish Hoek	856
				927
Kaap Agri Training Centre 65 Voortrekker Malmesbury 	65	 Voortrekker	Malmesbury	932
KayDee Project Management Cc 3 Palmiet River Farm Main Road Grabouw 7160	3  Palmiet River Farm	  Main Road	Grabouw	937
Koue Bokkeveld Training Centre 63 Bergsig street Op die Berg Koue Bokkeveld Breede River Rural 6836	63	 Bergsig street	Op die Berg	966
Kromco (Pty) Limited Patryslaagte Grabouw Overstrand Urban 7160			 Patryslaagte	972
Lateral Training Solutions (PTY) LTD Groenhoek Vredendal Western Cape 8160			Groenhoek	981
Lavender Moon Trading 27 cc 15 Roseland Road Rondebosch Cape Town Metro Urban	15	 Roseland Road	Rondebosch	985
National Institute For The Deaf 941 De La Bat Road,30 Worcester Breede Valley Urban 6849	30	 De La Bat Road	Worcester	1081
National Training Institute (NTI) 32 Kommissaris Street Welgemoed Cape Town Cape Town Metro Urban 7535	32	 Kommissaris Street	Welgemoed	1084
19 Keurboom Crescent Plattekloof  7500	19	Keurboom Crescent 	Plattekloof 	664
Dryer and Protea Roads Claremont Cape Town Metro Urban 7735		 Dryer and Protea Roads  	Claremont	1046
		Sackson Street	Mimosa	14
	33	York Street	George	29
	95	 York Street	George	30
	95	 York Street	George	32
	95	 York Street	George	33
	12	 Liesbeek Avenue Off Liesbeek Parkway	Mowbray	312
	12	 Liesbeek Avenue Off Liesbeek Parkway	Mowbray	313
	72	Duminy Street 	Vredelust Bellville	314
	5	 Beckham Street	Gardens	378
	1	 Riverine Road	Parklands	461
	1	 Riverine Road	Parklands	463
	1	 Riverine Road	Parklands	464
	4	 Beyers Road	Woodstock	475
	37	Barrack Street	East City, Cape Town	575
	3	 Saint Patrick Avenue	Seawinds	607
		Ave de Mist,	Rondebosch	765
		Ave de Mist,	Rondebosch	766
		Ave de Mist,	Rondebosch	767
	10	Dale Road	Mabille Park	807
	10	Dale Road	Mabille Park	808
		Somerset Road	 Green Point Kaapstad	906
				928
		 De keur Street	Durbanville	996
		 De keur Street	Durbanville	997
Kotze Street Moorreesburg, 7310		Kotze Street 	Moorreesburg	286
Sacks Cir, Van Der Bijl St, Sacks Circle, 7530 		Sacks Cir  Van Der Bijl St		320
5 Park Street, Cape Town, Western Cape 7550   	5	 Park Street	 Cape Town	456
				929
151 Frans Conradie Drive PAROW  7500	151	 Frans Conradie Drive 	PAROW  	96
				930
Parrow Campus Connaught Road Parow		 Connaught Road 	Parow	22
2 Silverdale Pinelands 7450	2	 Silverdale 	Pinelands	34
SUITE 101 BUILDING 20 KOTZEE ROAD WAVERLEY BUSINESS PARK MOWBRAY 7700		KOTZEE ROAD 	WAVERLEY BUSINESS PARK MOWBRAY 	41
Suite 101 Bldg 20 Waverley Business Park Kotzee Road Mowbray 7700		KOTZEE ROAD 	WAVERLEY BUSINESS PARK MOWBRAY 	43
50 Long Street Cape Town 8000	50	 Long Street	 Cape Town	46
Ladywood Drive  Ladywood Plettenburg Bay 6600		Ladywood Drive 	 Ladywood Plettenburg Bay 	47
19A Oewerpark Rokewood Avenue Die Boord Stellenbosch 7600		 Oewerpark Rokewood Avenue  	Die Boord Stellenbosch	61
4 Hawston Road Milnerton 7441	4	 Hawston Road 	Milnerton 	82
Glen Roy Road Pinelands Cape Town 7405		Glen Roy Road	 Pinelands 	90
8 Colyn Road Kalk Bay 7975	8	 Colyn Road 	Kalk Bay 	95
Hub Centre 124 Visser Street Kraaifontein 7550	124	 Visser Street 	Kraaifontein 	139
Nr 44 Lakewood Village Theron Street Fernkloof Hermanus 2092	44	 Theron Street 	 Lakewood Village Fernkloof Hermanus 	143
Ground Floor 23 Belmont Road Belmont Square Rondebosch 7700	23	 Belmont Road Belmont Square 	Rondebosch 	145
18 CAPITAL DRIVE  TEMBANI KHAYELITSHA 7791	18	 CAPITAL DRIVE  	TEMBANI KHAYELITSHA	148
6 DANA STREET BRACKENFELL 7560	6	 DANA STREET 	BRACKENFELL	172
20 Emerald Crescent Fish Hoek 7975	20	 Emerald Crescent	 Fish Hoek 	177
01 Clarendon Street Parow Valley Parow Valley 7500	1	 Clarendon Street 	Parow Valley Parow 	226
3 Swartvlei Street Paarl 7646	3	Swartvlei Street	 Paarl 	233
8 Sherwood Course Corner of Dreyersdal and Children Way Bergvliet 7945 	8	 Corner of Dreyersdal and Children Way 	Bergvliet 	236
13 Briza Road Bloubergrant 7441	13	 Briza Road 	Bloubergrant 	239
Unit 201 B, Building 20 Waverley Business Park Wycroft Road Mowbray 7700		Wycroft Road	 Mowbray	241
22 Cavendish Road Claremont Cape Town 7708	22	 Cavendish Road 	Claremont 	244
Collingwood Place 11 Drake Street Observatory 7925	11	  Drake Street 	Observatory 	251
	125	Mitchell Street	George	254
Boundary Road Newlands 7700		Boundary Road  	Newlands	268
2 Gladstone Road Boston Bellville 7530	2	 Gladstone Road 	Boston Bellville 	272
42 Bloumhof Street Oakdale Belliville 7535	42	 Bloumhof Street	 Oakdale Belliville 	284
Lynedoch Development R310 Lynedoch Stellenbosch 7603		Lynedoch Road	 Lynedoch Stellenbosch 	285
112 Helderberg College Road Die Wingerd Somerset West 7130	112	 Helderberg College Road 	 Die Wingerd Somerset West	290
7 DALEGARTH ROAD  PLUMSTEAD WESTERN CAPE 7800	7	 DALEGARTH ROAD  	PLUMSTEAD 	296
17 Garland Dale Crescent  Garland Dale Athlone Cape Town 7764	17	 Garland Dale Crescent    	Garlandale Athlone	298
298 Captain W A Duthie Avenue Lake Brenton 6571	298	 Captain W A Duthie Avenue	 Lake Brenton Knysna	299
39 Rosmead Avenue  Wynberg Cape Town 7800	39	 Rosmead Avenue  	Wynberg	300
5 Pineway Pinelands Cape Town 7405	5	 Pineway 	Pinelands  	308
19 Andries Pretorius Street Somerset West 7130	19	 Andries Pretorius Street	 Somerset West 	310
21 Fourth Street  George 6530	21	 Fourth Street  	George	319
3 de Kock Avenue Constantia Cape Town7806	3	 de Kock Avenue 	Constantia 	327
Clicks Bldg 48 Voortrekker Road Malmesbury 7299	48	  Voortrekker Road  	Malmesbury	365
5A Avenue Normadie Fresnaye Cape Town 8005		 Avenue Normadie 	Fresnaye  	394
45 Queen's Park Avenue Woodstock Cape Town 7945	45	 Queen's Park Avenue 	Woodstock 	395
19 Loop Street   Barr Streek Building Cape Town 8001		19 Loop Street  	Cape Town	458
18 Olive Schreiner Str, Parow North 7500	18	 Olive Schreiner Str	 Parow North 7500	459
Ground Floor Liesbeek House River Park River Lane Mowbray 7945		  River Lane 	River Park Mowbray 	465
Skabort Lane 48 Eversdal 7536	48	Skabort Lane	Eversdal 	495
4 Firfield Road Plumstead Cape Town 7800	4	 Firfield Road 	Plumstead 	502
Glen Eagles Greenways Strand 7140		Glen Eagles 	Greenways Strand 	519
85 Birdstreet Stellenbosch 7600	85	 Birdstreet	Stellenbosc	529
Ground Floor Twin Oaks Main Street Somerset 7130		  Main Street	 Somerset 	540
3rd Floor Matador Centre 62 Strand Street Cape Town  8001  	62	Strand Street 	Cape Town 	541
1st floor Regkaam Building Kort Street Bellville 7530		  Kort Street	 Bellville	542
1st Floor Market Mall 84 Market Street George 6529	84	 Market Street 	George 	543
5 Scott Road Hout Bay Cape Town 7806	5	 Scott Road 	Hout Bay 	554
5 Mountainview Crescent Durbell Durbanville 7550	5	 Mountainview Crescent 	Durbell Durbanville 	566
Unit D11 Westlake Square Westlake 7945		 Westlake Square 	Westlake 	568
9 Rosendale Street Bellville 7538  	9	 Rosendale Street 	Bellville 	573
Keizersgracht Street CAPE TOWN WESTERN CAPE 8001  		Corner of Keizersgracht and Tennant Street	Zonnebloem	582
4 Victoria Road Plumstead Cape Town 7800	4	 Victoria Road 	Plumstead 	589
2 Dixton Road Observatory Cape Town 7025	2	 Dixton Road 	Observatory	592
20 Rosmead Avenue Claremont 7708 	20	Rosmead Avenue	 Claremont 	594
		Connaught Road	PAROW VALLEY	595
18 Breda Street Gardens Cape Town	18	 Breda Street 	Gardens 	615
32 Stowe Cresent Silvertree Estate Tokai 7945	32	Stowe Cresent	 Silvertree Estate Tokai	641
2nd Floor Newport House Cnr. Ebenezer & Prestwich Rd Greenpoint 8001		 Cnr. Ebenezer & Prestwich Rd 	Greenpoint	642
47 Bain Street Wellington 7655	47	 Bain Street 	 Wellington	648
39 John X Merriman Street Cape Town 7530  	39	 John X Merriman Street  	Cape Town	686
6 CONSTANTIA MEWS CONSTANTIA ROAD DURBANVILLE 7550  	6	  CONSTANTIA ROAD 	DURBANVILLE 	715
UNIT D7 COLLINGWOOD BUILDING BLACKRIVER PARK FIR STREET OBSERVATORY 7925		FIR STREET 	BLACKRIVER  PARK OBSERVATORY 	724
South Arm Road Duncan Dock Cape Town Harbour Cape Town 8000		South Arm Road	Cape Town Harbour 	726
69 Main Road Mowbray 7700  	69	 Main Road	 Mowbray	732
19 Flamingo Crescent Lansdowne 7780	19	 Flamingo Crescent Lansdowne 7780		733
C/O GRASS ROOTS TRUST SUITE 35 A KLIP FONTEIN ROAD ATHLONE 7700		 KLIP FONTEIN ROAD	 ATHLONE 	736
Sithandathu Avenue Medical Centre Nyanga 7755  		Sithandathu Avenue 	Nyanga 	743
9 Appletiser Road Grabouw 7160	9	 Appletiser Road 	Grabouw 	746
7 Rael Street Tamboeis Kloof Cape Town	7	Rael Street  	Tamboeis Kloof	753
The Bird Hide 29 Green Close Parow 7500  	29	 Green Close 	Parow 	764
17 NOOITGEDACHT DRIVE HOUTBAY 7872	17	 NOOITGEDACHT DRIVE	 HOUTBAY 	769
45 Tokai Road Cape Town 7945	45	 Tokai Road	 Cape Town 	783
No.1 Tiny Naude Street Brackenfel 7560 	1	 Tiny Naude Street 	Brackenfell 	784
340 Voortrekker Road Parow Cape Town 7500	340	 Voortrekker Road 	Parow 	796
Springbok Street Kew Town Athlone		Springbok Street  	Kew Town Athlone	797
47 REITZ STREET SOMERSET WEST 7130 	47	 REITZ STREET 	SOMERSET WEST 	801
34 the Village Diemersfontein Wine and Country Estate Wellington 7655	34	the Village 	Diemersfontein  Wine and Country Estate Wellington 	803
Global House 3 Pearce Street Berea East London 5241		Global House 3 Pearce Street Berea East London 5241		817
335a Klipfontein Road Silvertown Athlone 7764		 Klipfontein Road 	Silvertown Athlone 	828
19 Forrest Walk Forrest Lane Sir Lowry's Pass 7133  	19	Forrest Walk Forrest Lane 	Sir Lowry's Pass 	831
139 1 ST AVENUE KENILWORTH CAPE TOWN 7708	139	 1 ST AVENUE 	KENILWORTH 	846
8A Leonard Giles Street Rooirivierrif George 6530		 Leonard Giles Street 	Rooirivierrif George 	865
1st Floor, House Faure 10 Brodie Road Wynberg Mews 7800	10	Brodie Road	Wynberg	873
Office 2, 1st Floor 39 Second Avenue Harfield Village 7708	39	Second Avenue	  Harfield Village 7708	884
9 Upper Holy Street Newlands Cape Town 7700  	9	 Upper Holy Street   	Newlands	888
130 STRAND STREET CAPE TOWN 8001  	130	 STRAND STREET	 CAPE TOWN 	892
Diaz Office Park Office 21 & 22 Beach Boulevard West Mossel Bay 6506 		Beach Boulevard West	Mossel Bay	904
47 Princess Margaret Road Ruyterwacht 7460 	47	 Princess Margaret Road 	Ruyterwacht 	905
44 St Saviour Street Oudtshoorn 6625	44	 St Saviour Street  	Oudtshoorn	953
7 Rust-en-Vrede Business Park 17 Oxford Street Durbanville Cape Town 7550	17	 Oxford Street 	 Durbanville 	987
8 Sherwood Court Dreyersdal Road Bergvliet 7945	8	 Dreyersdal Road	 Bergvliet 	988
1 Church Street Okiep 8270	1	 Church Street 	Okiep	1005
12 Bouquet Street Claremont Cape Town 8001	12	 Bouquet Street 	Claremont	1012
Cape Town Teachers Centre Molteno Road Claremont 7736		Molteno Road	 Claremont 	1013
1 ALMYR COURT  HUGON ROAD CLAREMONT 7735	1	HUGON ROAD	 CLAREMONT 	1020
SUITE 208 RHEEDE STREET GARDENS 8001		RHEEDE STREET 	GARDENS	1032
275 Victoria Road Salt River 7925	275	 Victoria Road	 Salt River 	1047
27 Strubens Road Mowbray  Cape town	27	 Strubens Road	 Mowbray  	1051
8 Parkchester Avenue Pinelands Cape Town 7450	8	 Parkchester Avenue	 Pinelands 	1062
30 Nelson Drive Simons Town 7995	30	 Nelson Drive	 Simons Town	1082
68 Bonaparte Avenue Klein Parys Paarl 7646	68	 Bonaparte Avenue 	Klein Parys 	1087
Graduate School of Business University of Cape Town Breakwater Campus 8002		Breakwater Campus	 University of Cape Town 	1091
80 Voortrekker Road Bellville South 7530	80	 Voortrekker Road 	Bellville South	21
Unit 8 - Pro Dev Park Langenegger Street Gants Centre Strand 7140		Langenegger Street  	Pro Dev Park Strand	132
Courtney & Joubert Streets	125	Mitchell Street	George 	256
66 Main Road 1st Floor Office 4 Knysna 6570 	66	 Main Road 	  Knysna 	303
Ntaka Street Thembalethu George 6529		Ntaka Street 	Thembalethu George 	508
Unit H; Maitland Business Park Voortrekker Road Maitland 8000		Voortrekker Road 	 Maitland	601
Pinelands Campus Jan Smuts Drive Pinelands 8000		 Jan Smuts Drive 	 Pinelands 	616
Cape Peninsula University Symphony Way Bellville  7535		 Symphony Way   	Bellville	639
Eskom Ankerlig Power Station Atlantis Industrial Tygervalley 7536		 	Atlantis Industrial Tygervalley	754
15 Pasita Street Rosenpark Bellville 7536	15	 Pasita Street 	 Rosenpark Bellville	755
15 Pasita Street Rosenpark Bellville 7536	15	 Pasita Street 	 Rosenpark Bellville	757
15 Pasita Street Rosenpark Bellville 7536	15	 Pasita Street 	 Rosenpark Bellville	758
R27 West Coast Road Melkbosstrand 7440		 West Coast Road Melkbosstrand 	Melkbosstrand 	759
Off Westcoast Road Melkbosstrand  Cape Town 7440		Off Westcoast Road	Melkbosstrand 	760
R27 West Coast Road Melkbosstrand		 West Coast Road 	Melkbosstrand	761
False Bay College - Westlake Campus Westlake Business Park Westlake Drive Tokai 7945		Westlake Drive	  Westlake Business Park Tokai 	773
19 Kent Street Salt River Cape Town 7925	19	 Kent Street	 Salt River 	882
				931
959	464	1030	1024	
